Place,Tank,Treat,Plant.treat,Hyacinth,Chop,Manage.treat,Week,Date,Plant.mass,Cercs,Peri,,,,,,
,31,Hyacinth.remove,Hyacinth,1,0,remove,3,5/21/2019,350,,,,,,,,
,32,Hyacinth.chop,Hyacinth,1,1,chop,3,5/22/2019,150,,,,,,,,
,33,Hyacinth.chop,Hyacinth,1,1,chop,3,5/22/2019,200,,,,,,,,
,34,Hyacinth.chop,Hyacinth,1,1,chop,3,5/22/2019,100,,,,,,,,
,35,Control.none,Control,0,0,none,3,5/22/2019,NA,,,,,,,,
,36,Hyacinth.remove,Hyacinth,1,0,remove,3,5/21/2019,200,,,,,,,,
,37,Hyacinth.remove,Hyacinth,1,0,remove,3,5/21/2019,100,,,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,3,5/21/2019,400,,,,,,,,
,39,Hyacinth.remove,Hyacinth,1,0,remove,3,5/21/2019,350,,,,,,,,
,40,Hyacinth.chop,Hyacinth,1,1,chop,3,5/22/2019,300,,,,,,,,
,1,Control.none,Control,0,0,none,4,5/29/2019,NA,22,2840,,,,,,
,2,Hyacinth.remove,Hyacinth,1,0,remove,4,5//282019,150,0,13083,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,4,5//282019,50,1232,726,,,,,,
,4,Control.chop,Control,0,1,chop,4,5//282019,NA,179,6869,,,,,,
,5,Control.chop,Control,0,1,chop,4,5//282019,NA,0,3565,,,,,,
,6,Control.chop,Control,0,1,chop,4,5//282019,NA,0,5967,,,,,,
,7,Control.chop,Control,0,1,chop,4,5//282019,NA,1,5217,,,,,,
,8,Control.none,Control,0,0,none,4,5/29/2019,NA,9,5790,,,,,,
,9,Hyacinth.remove,Hyacinth,1,0,remove,4,5//282019,200,0,783.5,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,4,5//282019,150,0,1129,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,4,5//282019,150,589,324.9,,,,,,
,13,Control.chop,Control,0,1,chop,4,5//282019,NA,3,2134,,,,,,
,14,Hyacinth.remove,Hyacinth,1,0,remove,4,5//282019,200,0,287.6,,,,,,
,15,Control.none,Control,0,0,none,4,5/29/2019,NA,164,1327,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,4,5//282019,100,0,244.9,,,,,,
,17,Hyacinth.chop,Hyacinth,1,1,chop,4,5/29/2019,350,621,2221,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,4,5//282019,200,2772,4766,,,,,,
,19,Control.chop,Control,0,1,chop,4,5//282019,NA,0,5675,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,4,5//282019,200,0,6768,,,,,,
,21,Hyacinth.chop,Hyacinth,1,1,chop,4,5/29/2019,250,2425,1606,,,,,,
,22,Control.none,Control,0,0,none,4,5/29/2019,NA,0,1351,,,,,,
,23,Control.chop,Control,0,1,chop,4,5//282019,NA,0,2648,,,,,,
,27,Hyacinth.remove,Hyacinth,1,0,remove,4,5//282019,250,0,474.4,,,,,,
,28,Control.none,Control,0,0,none,4,5/29/2019,NA,0,2941,,,,,,
,29,Control.none,Control,0,0,none,4,5/29/2019,NA,137,971.7,,,,,,
,30,Hyacinth.chop,Hyacinth,1,1,chop,4,5/29/2019,200,100,352.1,,,,,,
